序号,名称,学校类别,电话,地址,高校
86,中国工程物理研究院研究生部,10培养研究生的科研机构,62011845,北京市海淀区花园路6号,高校
87,华北计算机系统工程研究所,10培养研究生的科研机构,82306057,北京市海淀区清华东路25号,高校
88,华北计算技术研究所,10培养研究生的科研机构,51615509,北京市海淀区北四环中路211号,高校
89,中国石油勘探开发研究院,10培养研究生的科研机构,83597435,北京市海淀区学院路20号,高校
90,北京橡胶工业研究设计院,10培养研究生的科研机构,51338036,北京市海淀区阜石路甲19号,高校
91,中国铁道科学研究院,10培养研究生的科研机构,51849751,北京市海淀区西直门外大柳树路2号,高校
92,电信科学技术研究院,10培养研究生的科研机构,62301615,北京市海淀区学院路40号,高校
93,中国气象科学研究院,10培养研究生的科研机构,68407286,北京市海淀区中关村南大街46号,高校
94,国家海洋环境预报研究中心,10培养研究生的科研机构,62105722,北京市海淀区大慧寺路8号,高校
95,中国地震局地球物理研究所,10培养研究生的科研机构,68415364,北京市海淀区民族大学南路5号,高校
96,中国地震局地震预测研究所,10培养研究生的科研机构,88015665,北京市海淀区复兴路63号,高校
98,石油化工科学研究院,10培养研究生的科研机构,82368155,北京市海淀区学院路18号,高校
99,北京市东城区职工业余大学,41成人高等学校：职工高校,65522778-211,北京市东城区朝阳门外潘家坡1号,高校
100,北京医药集团职工大学,41成人高等学校：职工高校,58167811,北京市丰台区宋家庄苇子坑148号,高校
102,中国现代教育研修中心,51民办的其他高等教育机构,68987352,北京市朝阳区华严北里甲1号健翔山庄A8四层,高校
103,北京职业资格专修学院,51民办的其他高等教育机构,68987352,北京市朝阳区华严北里甲1号健翔山庄A8,高校
104,北京彼得·德鲁克管理研修学院,51民办的其他高等教育机构,65101020,北京市东城区建国门内大街7号2座20层,高校
105,北京经济管理函授学院,51民办的其他高等教育机构,59361879,北京市西城区法源寺西里5号楼甲2号,高校
106,中国逻辑与语言函授大学,51民办的其他高等教育机构,62130051,北京市海淀区北三环西路43号青云当代大厦,高校
